instance,subset,dimension,runs,bks,bks_routes,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
X-n331-k15,X,331,1,31102.0,15,33858.0,8.861166484470452,8.861166484470452,8.861166484470452,0.0,33858.0,0.0,1.1925671280000643,5.0,full_experiment_seed0.csv,
X-n3334-k934,XL,3334,1,,,2368210.0,,,,0.0,2368210.0,0.0,0.004317316999731702,0.0,full_experiment_seed0.csv,
X-n336-k84,X,336,1,139111.0,86,144890.0,4.154236544917368,4.154236544917368,4.154236544917368,0.0,144890.0,0.0,1.1677020990000528,4.0,full_experiment_seed0.csv,
X-n3408-k524,XL,3408,1,,,1214842.0,,,,0.0,1214842.0,0.0,0.0038966160000200034,0.0,full_experiment_seed0.csv,
X-n344-k43,X,344,1,42050.0,43,44599.0,6.061831153388822,6.061831153388822,6.061831153388822,0.0,44599.0,0.0,1.0948435169998447,3.0,full_experiment_seed0.csv,
X-n3484-k436,XL,3484,1,,,1112595.0,,,,0.0,1112595.0,0.0,0.0037054310000712576,0.0,full_experiment_seed0.csv,
X-n351-k40,X,351,1,25896.0,40,26990.0,4.224590670373803,4.224590670373803,4.224590670373803,0.0,26990.0,0.0,1.0594008680000115,8.0,full_experiment_seed0.csv,
X-n3561-k229,XL,3561,1,,,626668.0,,,,0.0,626668.0,0.0,0.0046319329999278125,0.0,full_experiment_seed0.csv,
X-n359-k29,X,359,1,51505.0,29,53615.0,4.096689641782351,4.096689641782351,4.096689641782351,0.0,53615.0,0.0,1.146048391000022,3.0,full_experiment_seed0.csv,
X-n3640-k211,XL,3640,1,,,682028.0,,,,0.0,682028.0,0.0,0.004218843000217021,0.0,full_experiment_seed0.csv,
X-n367-k17,X,367,1,22814.0,17,25255.0,10.699570439203999,10.699570439203999,10.699570439203999,0.0,25255.0,0.0,1.5709653799999614,4.0,full_experiment_seed0.csv,
X-n3721-k77,XL,3721,1,,,1015634.0,,,,0.0,1015634.0,0.0,0.0050461800001357915,0.0,full_experiment_seed0.csv,
X-n376-k94,X,376,1,147713.0,94,149358.0,1.1136460568805724,1.1136460568805724,1.1136460568805724,0.0,149358.0,0.0,1.415786776999994,5.0,full_experiment_seed0.csv,
X-n3804-k29,XL,3804,1,,,596933.0,,,,0.0,596933.0,0.0,0.00428772100030983,0.0,full_experiment_seed0.csv,
X-n384-k52,X,384,1,65940.0,53,69271.0,5.051562026084319,5.051562026084319,5.051562026084319,0.0,69271.0,0.0,1.4035511980000592,5.0,full_experiment_seed0.csv,
X-n3888-k1010,XL,3888,1,,,2573292.0,,,,0.0,2573292.0,0.0,0.007830392999949254,0.0,full_experiment_seed0.csv,
